CSS_ContractRefNo|ProgrammeName|CSSName|DWP_Description|DWP_DueDate|DWP_SuccessCriteria|DWP_HowManyRecords|DWP_HowManyRecordsExempt|DWP_HowManyRecordsNotes|CSS_SortOrder
CSS10|WHP London|WHP London  -  CSS10|80% of engaged participants will have a realistic job goal identified.|30 working days from Start Date or Prog Leave Date, whichever is sooner? Inclusion criteria = everyone with a start date.|At least one option in the Vacancy Family box on the Matching tab in Adapt must have been selected. Needs at least 1 box in vacancy matching field filled in in order to be counted as successful.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|HOW TO EXCLUDE DISENGAGED, IN WORK ETC.?||60010
CSS8|WHP London|WHP London  -  CSS8|All engaged participants will have a CV review. A tolerance of 5% will be applied.|Projected Programme Leave Date. Inclusion Criteria - Everyone with a start date.|A document in the CV folder (against the Person) or the "Miscellaneous" folder (against the Contract) containing the phrase "CV" or "Curriculum Vitae" has been uploaded within the timeframe specified. Other success criteria - did the CV get offered but got turned down? Booked an appointment regarding "CV Review" and it gets DNA, then still count as success as the service was offered but declined. Target achievment rate for this metric - 95%|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|Exclude Disengaged if Disengaged all the way up to Projected Leave Date.|Where a Participant leaves the programme, that period should be marked as compliant, and no further periods should be generated. Rather than Programme Leave Date, the Completed Date of the "Exit Review" Activity should be used. Where a Participant Disengages, the CSS instance should be excluded from the report. Once the Participant Re-engages, that triggers the next 28 due date. The same applies to being In Work (verified jobs only) - based on Job Start Date and Job Leave Date (if present).|60008
CSS1|WHP London|WHP London  -  CSS1|All referrals will have contact attempted within 2 working days of receiving a referral.  A tolerance of 5% will be applied.|PRaP Referral Date + 2 working days. PRaP Referral Date is "day zero" and the count should begin the following working day.|Earliest Communication Tracking record of any kind has a "Date of Contact" within the timeframe specified.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|None.||60001
CSS2|WHP London|WHP London  -  CSS2|All initial meetings with referrals will occur within 15 working days of referral being made.  A tolerance of 5% will be applied.|PRaP Referral Date + 15 working days. PRaP Referral Date is "day zero" and the count should begin the following working day.|Earliest Activity Completed Date of an "Welcome Meeting" Activity, under an "Initial Appointment" Barrier, is within the timeframe specified.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|None.||60002
CSS13|WHP Wales|WHP Wales  -  CSS13|Applicable only to WHP participants referred on or before 31st October 2022! If the Participant is not in employment or self-employment at the point they cease to be a Participant, the Contractor will produce an exit report pack. This will include a summary of the Participant’s time on WHP, along with details of additional support that can be accessed to support them going forward (“Exit Report Pack”). The Exit Report Pack will be provided to Participants within the last 10 (ten) Working Days of the Participant being a Participant. When a Participant’s employment ends during the in work support period and they return to Jobcentre Plus for support, an exit report pack must be provided to the Participant within 10 (ten) working days of the date the Contractor establishes that the Participant is no longer in employment. The Contractor will also maintain a copy of the Exit Report Pack securely, which must be sent to the Contracting Body upon request from the Contracting Body|There are two possible scenarios: 1) The Participant is not in work at Day 456 (Start Date + 455 calendar days), and either has no Programme Leave Date, or has the Programme Leave Reason "Participant Returned to DWP - End of Provision". In this scenario, the Due Date is Day 456 itself, the earliest possible action date for compliance being 9 working days earlier (so that Day 456 is working day 10). 2) The Participant has fallen out of work between Day 456 and Day 639 - based on the date the Job Leave Date was added to the system rather than the Job Leave Date itself. In this scenario, the Due Date is 10 working days after the Job Leave Date was input (Job Leave Date Input being Day One). If both scenarios are true, scenario 1 should take precedence and scenario 2 ignored.|A document with either a Name or Description containing the phrase "Exit Report" has been uploaded within the timeframe specified.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|Note: probably only include "Participant Returned to DWP - End of Provision" Leave Reasons for the 456 scenario.||50013
CSS13A|WHP Wales|WHP Wales  -  CSS13A|(For starts from 1st November 2022) Has the final action plan been completed and updated following the Participant's final scheduled review and prior to the last day on programme? The final action plan will outline individual activities agreed and those completed between the provider and the participant during their time on programme.|There are two possible scenarios: 1) The Participant is not in work at Day 456 (Start Date + 455 calendar days), and either has no Programme Leave Date, or has the Programme Leave Reason "Participant Returned to DWP - End of Provision". In this scenario, the Due Date is Day 456 itself, the earliest possible action date for compliance being 9 working days earlier (so that Day 456 is working day 10). 2) The Participant has fallen out of work between Day 456 and Day 639 - based on the date the Job Leave Date was added to the system rather than the Job Leave Date itself. In this scenario, the Due Date is 10 working days after the Job Leave Date was input (Job Leave Date Input being Day One). If both scenarios are true, scenario 1 should take precedence and scenario 2 ignored.|A document with either a Name or Description containing the phrase "Exit Report" has been uploaded within the timeframe specified.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|Note: probably only include "Participant Returned to DWP - End of Provision" Leave Reasons for the 456 scenario.||50014
CSS6|WHP Wales|WHP Wales  -  CSS6|The Contractor will provide the Participant with a copy of the Customer Service Standards within 1 (one) Working Day of becoming a Participant. The Customer Service Standards referred to here are details on the support that the Contractor can provide to the Participant|Programme Start Date + 1 working day. Programme Start Date is "day zero" and the count should begin the following working day.|Success Criteria: One of either: The earliest Communication Tracking record where the Method is "BOT - Welcome Pack", or the earliest generation of a document with the name or description containing the phrase "Welcome Pack", within the timeframe specified.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|||50006
CSS17|WHP London|WHP London  -  CSS17|60% of engaged participants will report an improved health and wellbeing outcome from their participation on the programme (from start to completion).|Before Programme Leave Date|Current based on the overall Distance Travelled score increasing from the earliest to the final recorded score. Previous score on stored under "distance travelled". I.e. previous score  minus latest score is positive. Inclusion criteria is everyone with a start date and a leave date. Target = 60%|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|HOW TO EXCLUDE DISENGAGED?||60017
CSS9|WHP London|WHP London  -  CSS9|All participants will be offered a Better Of Calculation. A 5% tolerance will be applied.|30 working days from Start Date.|An Activity with either the Activity Type "BOC", "Better Off In Work Calculation" or "Start - Better Off In Work Calculation", or any Activity against the Barrier "BOC" or "Better Off In Work Calculation" has a Due Date within the timeframe specified. Alternative SC = Booked appointment with "DNA" as a result for activity type of "BOC", "Better Off In Work Calculation" or "Start - Better Off In Work Calculation", or any Activity against the Barrier "BOC" or "Better Off In Work Calculation" has a Due Date within the timeframe specified. Inclusion criteria = everyone.  Target level - 95%|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|HOW TO EXCLUDE DISENGAGED, IN WORK ETC.?||60009
CSS15|WHP London|WHP London  -  CSS15|All participants who secure employment or self employment will be offered a transition in to work review with in work support plan. A tolerance of 15% will be applied.|10 working days from first job start date. Inclusion Criteria = Everyone with a Start date, but with status of live (not disengaged).|An Activity with the Activity Type "Transition to Work Review" is either completed or booked but "DNA". Target = 85%|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|||60015
