WorkFlowEventTypeID,WorkFlowEventProgramme,WorkFlowEventStageID,WorkFlowEventStageCategory,WorkFlowEventStageName,WorkFlowEventID,WorkFlowEvenName,WorkFlowEventType,CorrespondenceName,DocumentName,ActivityName,BarrierName,DocumentTrackingName,WorkFlowEventDate,WorkFlowEventDueDate,WorkFlowPreviousEventID,WorkFlowEventSLAType,WorkFlowEventSLADurationType,WorkFlowEventSLAFrom,WorkFlowEventSLADuration,WorkFlowEventActionType,WorkFlowEventCSSRelated,WorkFlowEventRecurring,WorkFlowEventTypeCount,WorkFlowEventTypeExit,SkippableEventID
1,WHP Wales,1,Referral,PRaP Referral,10,PRaP Referral,Referral,,,,,,Referral Date,,,,,,,,,,,,
2,WHP Wales,1,Referral,Initial Contact,20,Initial Contact,First Correspondence,Any,,,,,,,10,10,Working Days,,2,,CSS2,,,,
3,WHP Wales,1,Referral,Initial Appointment,30,Initial Appointment Booked,Initial Appointment Booked,,,Any,Initial Appointment,,,,20,,,,,,,Y,,,
4,WHP Wales,1,Referral,Initial Appointment,40,Initial Appointment Failed To Attend,Initial Appointment Failed To Attend,,,Any,Initial Appointment,,,,30,,,,,,,Y,,,
5,WHP Wales,1,Referral,Initial Appointment,50,Initial Appointment Attended,Initial Appointment Attended,,,Any,Initial Appointment,,,,40,10,Working Days,,15,,CSS1,,,,
6,WHP Wales,1,Referral,Work First Appraisal,60,Work First Appraisal,Activity,,,%Work First Appraisal%,,,,,50,,Working Days,,20,,CSS9,Y,,,
7,WHP Wales,1,Referral,Welcome Pack,70,Welcome Pack Sent,Correspondence,BOT - Welcome Pack,,,,,,,60,140,Working Days,,1,,CSS6,,,,
8,WHP Wales,1,Referral,Welcome Pack,80,Welcome Pack Uploaded,Documents,,%Welcome%Pack%,,,,,,70,140,Working Days,,1,,CSS6,,,,
9,WHP Wales,1,Referral,Action Plan,90,Initial Action Plan Uploaded,Documents,,%Action%Plan% Or %AP%,,,,,,80,10,Working Days,,20,,CSS7,,,,
10,WHP Wales,1,Referral,Action Plan,95,Monthly Action Plan Review,Documents,,%Action%Plan% Or %AP%,,,,,,90,90,Calendar Month -1,,1,,,Y,,,
11,WHP Wales,1,Referral,Referral Documents,100,Referral Documents Sent,Document Tracking,,,,,%Consent%,,,95,,,,,,,,,,
12,WHP Wales,1,Referral,Referral Documents,110,Referral Documents In Query,Document Tracking,,,,,%Consent%,,,100,,,,,,,Y,,,
13,WHP Wales,1,Referral,Referral Documents,120,Referral Documents Resent,Document Tracking,,,,,%Consent%,,,110,,,,,,,Y,,,
14,WHP Wales,1,Referral,Referral Documents,130,Referral Documents Completed,Document Tracking,,,,,%Consent%,,,120,,,,,,,,,,
15,WHP Wales,2,On Programme,Programme Start,140,Programme Start,Case,,,,,,,,130,,,,,,,,,,
16,WHP Wales,2,On Programme,First Contact,150,First Contact,Activity,Any,,Any,,,,,140,140,Working Days,,10,,CSS8,Y,,,
17,WHP Wales,2,On Programme,Missed Appointments,155,Missed Appointments,Activity,,,Any,,,,,150,155,Working Days,,1,,CSS10,Y,,,
