ObjectMappingID,SourceConnection,ObjectType,SourceSchema,SourceTable,DestinationConnection,DestinationSchema,DestinationTable,PrimaryKeyColumn,IsEnabled,IsNew
1,ADAPT,PSA_Adapt,dbo,PROP_TELEPHONE,sql_dwh,ADAPT,PROP_TELEPHONE,BISUNIQUEID,1,1
2,ADAPT,PSA_Adapt,dbo,BUSINESS_OBJECTS,sql_dwh,ADAPT,BUSINESS_OBJECTS,BO_ID,1,1
3,ADAPT,PSA_Adapt,dbo,CODE_GROUP_INDEX,sql_dwh,ADAPT,CODE_GROUP_INDEX,GROUP_ID,1,1
4,ADAPT,PSA_Adapt,dbo,CODES,sql_dwh,ADAPT,CODES,CODE_ID,1,1
5,ADAPT,PSA_Adapt,dbo,CODES_HIDDEN,sql_dwh,ADAPT,CODES_HIDDEN,CODE_ID|LANGUAGE_ID,0,1
6,ADAPT,PSA_Adapt,dbo,DOCUMENT_CATEGORIES,sql_dwh,ADAPT,DOCUMENT_CATEGORIES,CATEGORY_ID,1,1
7,ADAPT,PSA_Adapt,dbo,DOCUMENT_TEMPLATES,sql_dwh,ADAPT,DOCUMENT_TEMPLATES,DOC_TEMPLATE_ID,1,1
8,ADAPT,PSA_Adapt,dbo,DOCUMENTS,sql_dwh,ADAPT,DOCUMENTS,DOC_ID,1,1
9,ADAPT,PSA_Adapt,dbo,DT_ENTMAP,sql_dwh,ADAPT,DT_ENTMAP,IMPORTID|REFERENCE,0,1
10,ADAPT,PSA_Adapt,dbo,ENTITY_TABLE,sql_dwh,ADAPT,ENTITY_TABLE,ENTITY_ID,1,1
11,ADAPT,PSA_Adapt,dbo,JOURNAL_ENTRIES,sql_dwh,ADAPT,JOURNAL_ENTRIES,ID,0,1
12,ADAPT,PSA_Adapt,dbo,LK_ENTITIES_JOURNAL,sql_dwh,ADAPT,LK_ENTITIES_JOURNAL,ENTITY_ID|ENTITY_TYPE|JOURNAL_ID,0,1
13,ADAPT,PSA_Adapt,dbo,VW_LK_ENTITY_ROLE,sql_dwh,ADAPT,VW_LK_ENTITY_ROLE,REFERENCE|ROLE_ID,1,1
14,ADAPT,PSA_Adapt,dbo,MD_MULTI_NAMES,sql_dwh,ADAPT,MD_MULTI_NAMES,ID|LANGUAGE|TYPE,1,1
15,ADAPT,PSA_Adapt,dbo,MD_NAMED_OCCS,sql_dwh,ADAPT,MD_NAMED_OCCS,OCC_ID,1,1
16,ADAPT,PSA_Adapt,dbo,MD_ROLES,sql_dwh,ADAPT,MD_ROLES,ROLE_ID,1,1
17,ADAPT,PSA_Adapt,dbo,PROP_ACTION_GEN,sql_dwh,ADAPT,PROP_ACTION_GEN,BISUNIQUEID,1,1
18,ADAPT,PSA_Adapt,dbo,PROP_ACTIVITY_GEN,sql_dwh,ADAPT,PROP_ACTIVITY_GEN,BISUNIQUEID,1,1
19,ADAPT,PSA_Adapt,dbo,PROP_ADDRESS,sql_dwh,ADAPT,PROP_ADDRESS,BISUNIQUEID,1,1
20,ADAPT,PSA_Adapt,dbo,PROP_ASSESS_CUST,sql_dwh,ADAPT,PROP_ASSESS_CUST,BISUNIQUEID,1,1
21,ADAPT,PSA_Adapt,dbo,PROP_ASSESS_TEMP,sql_dwh,ADAPT,PROP_ASSESS_TEMP,BISUNIQUEID,1,1
22,ADAPT,PSA_Adapt,dbo,PROP_ASSIG_FEE,sql_dwh,ADAPT,PROP_ASSIG_FEE,BISUNIQUEID,1,1
23,ADAPT,PSA_Adapt,dbo,PROP_ASSIG_GEN,sql_dwh,ADAPT,PROP_ASSIG_GEN,BISUNIQUEID,1,1
24,ADAPT,PSA_Adapt,dbo,PROP_BARRIER_GEN,sql_dwh,ADAPT,PROP_BARRIER_GEN,BISUNIQUEID,1,1
